,y_pred,y_test
203,33534.23,33468.46
204,33473.06,33538.35
205,33501.664,33495.36
206,33499.508,33388.28
207,33415.484,33388.28
208,33397.24,33357.55
209,33362.727,33430.08
210,33367.953,33461.35
211,33398.695,33708.25
212,33571.91,33631.18
213,33651.832,33348.6
214,33430.996,33388.29
215,33357.055,33426.29
216,33370.508,33361.47
217,33392.85,33501.86
218,33459.99,33555.46
219,33500.58,33513.02
220,33468.152,33600.63
221,33527.543,33756.14
222,33696.46,33706.42
223,33684.48,33840.01
224,33766.035,33788.71
225,33806.156,33771.12
226,33779.117,33724.59
227,33721.58,33637.96
228,33631.29,33768.94
229,33705.094,33816.33
230,33803.676,33808.01
231,33774.914,33831.66
232,33775.855,33883.14
233,33836.395,33917.8
234,33882.45,33948.86
235,33912.617,33773.57
236,33799.625,33758.31
237,33718.543,33971.72
238,33833.86,34057.34
239,33985.73,34035.02
240,34007.535,33937.53
241,33946.805,33873.28
242,33842.363,33779.17
243,33774.258,33691.59
244,33691.97,33609.8
245,33624.195,33529.4
246,33511.152,33544.92
247,33515.016,33665.24
248,33575.523,33643.08
249,33595.88,33722.14
250,33654.902,33642.36
251,33663.043,33696.38
252,33625.875,33649.97
253,33624.88,33766.94
254,33669.824,33768.67
255,33715.742,33865.19
256,33809.633,33813.83
257,33818.754,33611.36
258,33663.2,33537.71
259,33558.26,33570.26
260,33526.02,33501.08
261,33508.17,33530.41
262,33498.19,33393.46
263,33436.004,33390.89
264,33375.05,33365.49
265,33346.48,33080.44
266,33215.75,32973.28
267,33030.37,32949.73
268,32953.36,32956.14
269,32956.227,33070.77
270,32996.25,33144.11
271,33036.3,33112.11
272,33116.184,33151.77
273,33114.062,33157.63
274,33149.168,33161.38
275,33145.746,32976.97
276,33039.31,32953.81
277,32936.54,32871.78
278,32887.78,32890.53
279,32854.926,32870.31
280,32826.465,32859.73
281,32831.973,32978.25
282,32903.96,32937.95
283,32937.133,32760.83
284,32813.973,33160.11
285,32954.496,32918.46
286,32997.69,32760.32
287,32805.836,32636.09
288,32682.535,32757.63
289,32728.82,32836.32
290,32763.152,32832.7
291,32773.082,32929.28
292,32895.62,32904.65
293,32882.86,32754.37
294,32824.305,32773.91
295,32739.484,32683.25
296,32696.797,32496.81
297,32547.39,32472.38
298,32455.148,32500.0
299,32484.105,32442.75
300,32407.549,32609.78
301,32519.426,32557.9
302,32586.701,32753.19
303,32660.352,32841.84
304,32761.074,32886.78
305,32851.793,32931.24
306,32918.625,32929.84
307,32928.996,32983.19
308,32935.383,32950.72
309,32939.23,32848.32
310,32869.54,32706.38
311,32752.34,32895.6
312,32766.057,33040.73
313,32974.387,33046.35
314,33022.363,33054.67
315,33061.457,33128.08
316,33085.047,33051.8
317,33069.85,33039.56
318,33031.59,32855.78
319,32917.125,32900.39
320,32836.6,32999.23
321,32926.047,33056.62
322,32999.082,32847.32
323,32921.46,32759.21
324,32768.863,32795.96
325,32769.39,32796.97
326,32770.473,32639.43
327,32685.951,32645.68
328,32617.963,32536.53
329,32578.75,32612.15
330,32535.36,32712.66
331,32625.07,32775.5
332,32726.967,32622.95
333,32674.293,32587.67
334,32573.14,32800.37
335,32672.203,32904.18
336,32800.754,32985.02
337,32915.6,32988.3
338,32920.85,32889.6
339,32907.145,32948.48
340,32923.83,32878.79
341,32882.96,32798.77
342,32804.387,32711.08
343,32737.898,32712.69
344,32715.957,32638.78
345,32661.025,32848.94
346,32740.07,32995.99
347,32908.64,33012.61
348,32967.754,33009.26
349,32985.137,33058.96
350,33002.797,33001.32
351,32998.74,32910.9
352,32923.754,32951.85
353,32938.81,33052.5
354,32985.273,33159.11
355,33082.656,33035.63
356,33048.91,33122.48
357,33091.676,33031.01
358,33060.574,33181.62
359,33091.742,33086.78
360,33094.848,33220.29
361,33135.05,33397.49
362,33287.133,33338.35
363,33352.38,33421.77
364,33374.62,33452.67
365,33416.94,33415.25
366,33423.168,33352.16
367,33354.062,33330.78
368,33308.29,33399.62
369,33341.395,33343.76
370,33348.2,33245.82
371,33260.508,33309.32
372,33259.83,33295.4
373,33272.316,33166.14
374,33179.027,33169.73
375,33126.793,33109.16
376,33130.98,33162.17
377,33115.664,33161.85
378,33135.598,33306.38
379,33232.62,33338.19
380,33311.05,33272.24
381,33270.29,33087.01
382,33129.117,33007.07
383,33002.992,32899.66
384,32910.0,32864.05
385,32849.35,32898.12
386,32868.453,32903.43
387,32880.08,32850.51
388,32843.156,32766.84
389,32775.664,32782.72
390,32752.137,32830.25
391,32776.574,32678.41
392,32700.73,32735.15
393,32658.078,32724.79
394,32710.398,32675.3
395,32661.766,32754.37
396,32699.574,32788.83
397,32755.438,32842.86
398,32786.89,32656.64
399,32718.484,32616.07
400,32609.719,32606.24
401,32568.52,32699.89
402,32621.236,32654.73
403,32648.621,32683.21
404,32659.201,32791.27
405,32715.996,32633.16
406,32681.658,32687.44
407,32628.02,32896.15
408,32772.95,32885.82
409,32860.74,32834.67
410,32829.785,32907.83
411,32879.855,32902.07
412,32885.027,32934.61
413,32885.668,33022.88
414,32945.383,33072.35
415,33012.12,33053.61
416,33044.035,33048.32
417,33026.688,33042.45
418,33022.125,33028.84
419,33030.188,32999.92
420,32992.5,33190.06
421,33064.406,33136.18
422,33134.03,33088.09
423,33081.92,33282.65
424,33170.344,33463.41
425,33338.434,33436.51
426,33402.254,33390.68
427,33383.516,33615.19
428,33494.516,33949.7
429,33772.27,33944.54
430,33880.637,33924.89
431,33920.035,34029.76
432,33966.414,34071.0
433,34053.477,34001.51
434,34000.543,34034.4
435,33994.125,34267.54
436,34160.13,34099.57
437,34191.457,33961.21
438,34016.434,33964.77
439,33941.824,33961.9
440,33928.746,34117.64
441,34039.13,33905.4
442,33950.05,33821.86
443,33837.402,33893.26
444,33894.973,33967.45
445,33944.707,34022.03
446,33980.61,33887.24
447,33900.098,34028.21
448,33939.848,33949.86
449,33969.81,33899.35
450,33909.29,33877.27
451,33870.215,33826.39
452,33826.535,33811.61
453,33804.484,34005.07
454,33908.13,33967.68
455,33953.562,33828.78
456,33860.758,33806.06
457,33798.293,34028.13
458,33917.31,33951.04
459,33966.793,33829.8
460,33831.973,33820.33
461,33805.043,33840.6
462,33845.92,33855.51
463,33810.36,33870.89
